;ano;turno;tipo_eleicao;sigla_uf;id_municipio;id_municipio_tse;cargo;sigla_partido;numero_candidato;sequencial_candidato;id_candidato_bd;resultado;votos;total_votos;%votos;dif_votos
67;2020;1;eleicao ordinaria;SP;3501905;61379;prefeito;CIDADANIA;23;250001090266;169069;nao eleito;520;35512;0.01464;0.20667000000000002
68;2020;1;eleicao ordinaria;SP;3501905;61379;prefeito;MDB;15;250000916140;1579817;eleito;15389;35512;0.43335;0.20667000000000002
69;2020;1;eleicao ordinaria;SP;3501905;61379;prefeito;PSB;40;250000916757;569729;nao eleito;1329;35512;0.03742;0.20667000000000002
70;2020;1;eleicao ordinaria;SP;3501905;61379;prefeito;PSD;55;250000918008;18957;nao eleito;8050;35512;0.22668;0.20667000000000002
71;2020;1;eleicao ordinaria;SP;3501905;61379;prefeito;PSDB;45;250000919525;115135;nao eleito;6389;35512;0.17991;0.20667000000000002
72;2020;1;eleicao ordinaria;SP;3501905;61379;prefeito;PT;13;250000867498;108607;nao eleito;2671;35512;0.07521;0.20667000000000002
73;2020;1;eleicao ordinaria;SP;3501905;61379;prefeito;PTB;14;250001216403;569788;nao eleito;1164;35512;0.03278;0.20667000000000002
74;2020;1;eleicao ordinaria;SP;3502002;61395;prefeito;PDT;12;250000638601;1481094;nao eleito;571;1971;0.2897;0.42060000000000003
75;2020;1;eleicao ordinaria;SP;3502002;61395;prefeito;REPUBLICANOS;10;250000810120;567972;eleito;1400;1971;0.7103;0.42060000000000003
76;2020;1;eleicao ordinaria;SP;3502101;61417;prefeito;CIDADANIA;23;250001238908;1275576;nao eleito;428;31891;0.01342;0.58377
77;2020;1;eleicao ordinaria;SP;3502101;61417;prefeito;PODE;19;250001224590;1156446;nao eleito;6343;31891;0.1989;0.58377
78;2020;1;eleicao ordinaria;SP;3502101;61417;prefeito;PSC;20;250001238280;1574999;nao eleito;160;31891;0.00502;0.58377
79;2020;1;eleicao ordinaria;SP;3502101;61417;prefeito;PSDB;45;250000841117;551003;eleito;24960;31891;0.78267;0.58377
80;2020;1;eleicao ordinaria;SP;3502200;61433;prefeito;PODE;19;250000755524;1724839;nao eleito;1109;7733;0.14341;0.12013000000000001
81;2020;1;eleicao ordinaria;SP;3502200;61433;prefeito;PRTB;28;250001161066;1146865;nao eleito;843;7733;0.10901;0.12013000000000001
82;2020;1;eleicao ordinaria;SP;3502200;61433;prefeito;PT;13;250000678556;1341488;nao eleito;226;7733;0.02923;0.12013000000000001
83;2020;1;eleicao ordinaria;SP;3502200;61433;prefeito;PV;43;250001162431;50218;nao eleito;2313;7733;0.29911;0.12013000000000001
84;2020;1;eleicao ordinaria;SP;3502200;61433;prefeito;REPUBLICANOS;10;250000755764;172132;nao eleito;3242;7733;0.41924;0.12013000000000001
85;2020;1;eleicao ordinaria;SP;3502408;61476;prefeito;PSDB;45;250001054456;1181666;eleito;1514;2799;0.54091;0.08182
86;2020;1;eleicao ordinaria;SP;3502408;61476;prefeito;PTB;14;250001054701;1645930;nao eleito;1285;2799;0.45909;0.08182
87;2020;1;eleicao ordinaria;SP;3502507;61492;prefeito;PATRIOTA;51;250001111965;1496342;nao eleito;804;20087;0.04003;0.09529000000000004
88;2020;1;eleicao ordinaria;SP;3502507;61492;prefeito;PL;22;250001017869;1074769;nao eleito;1807;20087;0.08996;0.09529000000000004
89;2020;1;eleicao ordinaria;SP;3502507;61492;prefeito;PODE;19;250001087556;818211;eleito;7358;20087;0.36631;0.09529000000000004
90;2020;1;eleicao ordinaria;SP;3502507;61492;prefeito;PSDB;45;250001026949;1707245;nao eleito;3775;20087;0.18793;0.09529000000000004
91;2020;1;eleicao ordinaria;SP;3502507;61492;prefeito;PTB;14;250001021016;1254350;nao eleito;5444;20087;0.27102;0.09529000000000004
92;2020;1;eleicao ordinaria;SP;3502507;61492;prefeito;REPUBLICANOS;10;250001200315;1346845;nao eleito;629;20087;0.03131;0.09529000000000004
93;2020;1;eleicao ordinaria;SP;3502507;61492;prefeito;SOLIDARIEDADE;77;250001215145;988290;nao eleito;270;20087;0.01344;0.09529000000000004
94;2020;1;eleicao ordinaria;SP;3502606;61514;prefeito;DEM;25;250000737160;1144813;eleito;1679;3183;0.52749;0.1285
95;2020;1;eleicao ordinaria;SP;3502606;61514;prefeito;PSC;20;250000897660;1288092;nao eleito;234;3183;0.07352;0.1285
96;2020;1;eleicao ordinaria;SP;3502606;61514;prefeito;PSD;55;250000809401;1029138;nao eleito;1270;3183;0.39899;0.1285
97;2020;1;eleicao ordinaria;SP;3502705;61530;prefeito;CIDADANIA;23;250001225192;1267616;nao eleito;1451;7570;0.19168;0.22192000000000003
98;2020;1;eleicao ordinaria;SP;3502705;61530;prefeito;PSB;40;250001252305;1590255;nao eleito;3173;7570;0.41915;0.22192000000000003
99;2020;1;eleicao ordinaria;SP;3502705;61530;prefeito;PSDB;45;250001225229;1278257;nao eleito;1493;7570;0.19723;0.22192000000000003
100;2020;1;eleicao ordinaria;SP;3502705;61530;prefeito;PSL;17;250001205631;1659016;nao eleito;1453;7570;0.19194;0.22192000000000003
101;2020;1;eleicao ordinaria;SP;3502754;61263;prefeito;PODE;19;250000949084;1482826;nao eleito;698;12397;0.0563;0.2249
102;2020;1;eleicao ordinaria;SP;3502754;61263;prefeito;PROS;90;250000993057;1706236;eleito;5124;12397;0.41333;0.2249
103;2020;1;eleicao ordinaria;SP;3502754;61263;prefeito;PRTB;28;250000826040;1655456;nao eleito;366;12397;0.02952;0.2249
104;2020;1;eleicao ordinaria;SP;3502754;61263;prefeito;PSDB;45;250000772553;1558873;nao eleito;1695;12397;0.13673;0.2249
105;2020;1;eleicao ordinaria;SP;3502754;61263;prefeito;PTB;14;250000771303;1426973;nao eleito;2178;12397;0.17569;0.2249
106;2020;1;eleicao ordinaria;SP;3502754;61263;prefeito;REPUBLICANOS;10;250000773021;1685302;nao eleito;2336;12397;0.18843;0.2249
107;2020;1;eleicao ordinaria;SP;3502804;61557;prefeito;MDB;15;250001093625;1035965;nao eleito;25680;94036;0.27309;0.16463
108;2020;1;eleicao ordinaria;SP;3502804;61557;prefeito;PODE;19;250001197876;22596;nao eleito;15141;94036;0.16101;0.16463
109;2020;1;eleicao ordinaria;SP;3502804;61557;prefeito;PSDB;45;250000869880;1352770;eleito;41161;94036;0.43772;0.16463
110;2020;1;eleicao ordinaria;SP;3502804;61557;prefeito;PSOL;50;250001090053;1258189;nao eleito;762;94036;0.0081;0.16463
111;2020;1;eleicao ordinaria;SP;3502804;61557;prefeito;PT;13;250001182077;1290647;nao eleito;1538;94036;0.01636;0.16463
112;2020;1;eleicao ordinaria;SP;3502804;61557;prefeito;PTC;36;250001091152;1774970;nao eleito;246;94036;0.00262;0.16463
113;2020;1;eleicao ordinaria;SP;3502804;61557;prefeito;PV;43;250001088979;1296420;nao eleito;9508;94036;0.10111;0.16463
114;2020;1;eleicao ordinaria;SP;3502903;61573;prefeito;PDT;12;250000633774;199155;nao eleito;671;15999;0.04194;0.16551
115;2020;1;eleicao ordinaria;SP;3502903;61573;prefeito;PSD;55;250000980706;1661337;eleito;7219;15999;0.45122;0.16551
116;2020;1;eleicao ordinaria;SP;3502903;61573;prefeito;PSOL;50;250001161178;1466604;nao eleito;332;15999;0.02075;0.16551
117;2020;1;eleicao ordinaria;SP;3502903;61573;prefeito;PTB;14;250001018868;1234453;nao eleito;3206;15999;0.20039;0.16551
118;2020;1;eleicao ordinaria;SP;3502903;61573;prefeito;PV;43;250000983884;608806;nao eleito;4571;15999;0.28571;0.16551
119;2020;1;eleicao ordinaria;SP;3503000;61590;prefeito;MDB;15;250001066859;1281665;nao eleito;208;3672;0.05664;0.09040999999999999
120;2020;1;eleicao ordinaria;SP;3503000;61590;prefeito;PSD;55;250001062048;1440137;eleito;1898;3672;0.51688;0.09040999999999999
121;2020;1;eleicao ordinaria;SP;3503000;61590;prefeito;PSDB;45;250001239152;1310494;nao eleito;1566;3672;0.42647;0.09040999999999999
122;2020;1;eleicao ordinaria;SP;3503109;61611;prefeito;MDB;15;250000914115;1533838;nao eleito;827;4403;0.18783;0.08199000000000001
123;2020;1;eleicao ordinaria;SP;3503109;61611;prefeito;PSD;55;250000725451;27229;nao eleito;513;4403;0.11651;0.08199000000000001
124;2020;1;eleicao ordinaria;SP;3503109;61611;prefeito;PSDB;45;250000819349;1288457;nao eleito;1351;4403;0.30684;0.08199000000000001
125;2020;1;eleicao ordinaria;SP;3503109;61611;prefeito;PTB;14;250000971758;1310921;eleito;1712;4403;0.38883;0.08199000000000001
