;ano;turno;tipo_eleicao;sigla_uf;id_municipio;id_municipio_tse;cargo;sigla_partido;numero_candidato;sequencial_candidato;id_candidato_bd;resultado;votos;total_votos;%votos;dif_votos;Aderencia;Governismo;RDD
485;2020;1;eleicao ordinaria;SP;3523602;65730;prefeito;PSDB;45;250000888893;354294;eleito;2929;5787;0.50613;0.05563999999999997;92;0;1
486;2020;1;eleicao ordinaria;SP;3523602;65730;prefeito;PSL;17;250000686076;1700820;nao eleito;2607;5787;0.45049;0.05563999999999997;97;1;1
487;2020;1;eleicao ordinaria;SP;3555901;72192;prefeito;PSDB;45;250001019003;1733453;eleito;688;1360;0.50588;0.011759999999999993;92;0;1
488;2020;1;eleicao ordinaria;SP;3555901;72192;prefeito;PTB;14;250000789729;1461420;nao eleito;672;1360;0.49412;0.011759999999999993;90;1;1
489;2020;1;eleicao ordinaria;SP;3532207;67458;prefeito;PSDB;45;250001093391;1206815;eleito;1782;3544;0.50282;0.005640000000000034;92;0;1
490;2020;1;eleicao ordinaria;SP;3532207;67458;prefeito;PL;22;250000997512;1798484;nao eleito;1762;3544;0.49718;0.005640000000000034;90;1;1
491;2020;1;eleicao ordinaria;SP;3528502;66710;prefeito;PSDB;45;250000640197;1590054;eleito;21315;42398;0.50274;0.13859999999999995;92;0;1
492;2020;1;eleicao ordinaria;SP;3528502;66710;prefeito;PSD;55;250000633583;1499314;nao eleito;15439;42398;0.36414;0.13859999999999995;90;1;1
493;2020;1;eleicao ordinaria;SP;3538303;68691;prefeito;PSDB;45;250001236873;76407;nao eleito;1288;2577;0.49981;0.00038000000000004697;92;0;1
494;2020;1;eleicao ordinaria;SP;3538303;68691;prefeito;MDB;15;250001236632;1724354;eleito;1289;2577;0.50019;0.00038000000000004697;91;1;1
495;2020;1;eleicao ordinaria;SP;3519105;64831;prefeito;PSDB;45;250000761565;699356;nao eleito;3298;6623;0.49796;0.004080000000000028;92;0;1
496;2020;1;eleicao ordinaria;SP;3519105;64831;prefeito;DEM;25;250000802986;1494999;eleito;3325;6623;0.50204;0.004080000000000028;93;1;1
497;2020;1;eleicao ordinaria;SP;3530409;67091;prefeito;PSDB;45;250000908814;1542238;eleito;1578;3177;0.49669;0.02895000000000003;92;0;1
498;2020;1;eleicao ordinaria;SP;3530409;67091;prefeito;DEM;25;250001094799;648703;nao eleito;1486;3177;0.46774;0.02895000000000003;93;1;1
499;2020;1;eleicao ordinaria;SP;3520905;65196;prefeito;PSDB;45;250001014153;1742559;eleito;3964;7985;0.49643;0.02516999999999997;92;0;1
500;2020;1;eleicao ordinaria;SP;3520905;65196;prefeito;PSD;55;250000867054;1118346;nao eleito;3763;7985;0.47126;0.02516999999999997;90;1;1
501;2020;1;eleicao ordinaria;SP;3507753;62081;prefeito;PSDB;45;250001107640;50326;nao eleito;1026;2069;0.49589;0.00821999999999995;92;0;1
502;2020;1;eleicao ordinaria;SP;3507753;62081;prefeito;PV;43;250001107742;1594133;eleito;1043;2069;0.50411;0.00821999999999995;68;1;1
503;2020;1;eleicao ordinaria;SP;3553708;71757;prefeito;PSDB;45;250001126138;190310;eleito;12828;25887;0.49554;0.16746;92;0;1
504;2020;1;eleicao ordinaria;SP;3553708;71757;prefeito;DEM;25;250001089520;396225;nao eleito;8493;25887;0.32808;0.16746;93;1;1
505;2020;1;eleicao ordinaria;SP;3541604;69337;prefeito;PSDB;45;250001088938;1497511;eleito;9141;18463;0.4951;0.16421999999999998;92;0;1
506;2020;1;eleicao ordinaria;SP;3541604;69337;prefeito;MDB;15;250001089327;1682077;nao eleito;6109;18463;0.33088;0.16421999999999998;91;1;1
507;2020;1;eleicao ordinaria;SP;3547205;70459;prefeito;PSDB;45;250001171614;1636421;nao eleito;675;1366;0.49414;0.011719999999999953;92;0;1
508;2020;1;eleicao ordinaria;SP;3547205;70459;prefeito;MDB;15;250001171702;1575526;eleito;691;1366;0.50586;0.011719999999999953;91;1;1
509;2020;1;eleicao ordinaria;SP;3517109;64432;prefeito;PSDB;45;250000677111;202299;eleito;1526;3108;0.49099;0.005789999999999962;92;0;1
510;2020;1;eleicao ordinaria;SP;3517109;64432;prefeito;PTB;14;250001127619;809829;nao eleito;1508;3108;0.4852;0.005789999999999962;90;1;1
511;2020;1;eleicao ordinaria;SP;3539004;68810;prefeito;PSDB;45;250000751886;1192562;nao eleito;3038;6193;0.49055;0.018899999999999972;92;0;1
512;2020;1;eleicao ordinaria;SP;3539004;68810;prefeito;DEM;25;250000787954;1314056;eleito;3155;6193;0.50945;0.018899999999999972;93;1;1
513;2020;1;eleicao ordinaria;SP;3509403;62898;prefeito;PSDB;45;250000997293;1341006;eleito;6265;12821;0.48865;0.14085999999999999;92;0;1
514;2020;1;eleicao ordinaria;SP;3509403;62898;prefeito;PSD;55;250000987906;602880;nao eleito;4459;12821;0.34779;0.14085999999999999;90;1;1
515;2020;1;eleicao ordinaria;SP;3545605;70130;prefeito;PSDB;45;250001218666;1769851;nao eleito;4010;8215;0.48813;0.02374000000000004;92;0;1
